ALTO HOSPICIO,1,19,25,56
CAMIÑA,1,34,44,22
COLCHANE,1,33,40,27
HUARA,1,50,22,28
IQUIQUE,1,39,25,36
PICA,1,47,22,31
POZO ALMONTE,1,48,20,32
ANTOFAGASTA,2,41,20,39
CALAMA,2,42,18,40
MARIA ELENA,2,56,13,31
MEJILLONES,2,46,17,37
OLLAGUE,2,47,13,40
SAN PEDRO DE ATACAMA,2,44,19,37
SIERRA GORDA,2,57,15,28
TALTAL,2,62,16,22
TOCOPILLA,2,59,15,26
ALTO DEL CARMEN,3,60,17,23
CALDERA,3,58,17,25
CHAÑARAL,3,59,17,24
COPIAPO,3,49,19,32
DIEGO DE ALMAGRO,3,69,9,22
FREIRINA,3,66,16,18
HUASCO,3,63,14,23
TIERRA AMARILLA,3,61,15,24
VALLENAR,3,58,19,23
ANDACOLLO,4,65,17,18
Canela,4,76,13,11
Combarbala,4,71,16,13
Coquimbo,4,52,21,27
Illapel,4,67,16,17
La higuera,4,74,14,12
La serena,4,49,24,27
Los vilos,4,63,19,18
Monte Patria,4,72,14,14
Ovalle,4,63,18,19
Paihuano,4,59,22,19
Punitaqui,4,72,13,15
Rio hurtado,4,63,23,14
Salamanca,4,66,18,16
Vicuña,4,62,20,18
Algarrobo,5,27,46,27
Cabildo,5,31,30,39
Calera,5,12,37,51
Calle Larga,5,38,30,32
Cartagena,5,23,45,32
Casablanca,5,20,41,39
Catemu,5,37,28,35
Concon,5,10,48,42
El quisco,5,30,39,31
El tabo,5,35,39,26
Hijuelas,5,28,37,35
Isla de Pascua,5,57,15,28
Juan Fernandez,5,90,5,5
La cruz,5,26,38,36
La ligua,5,18,41,41
Limache,5,13,44,43
Llay llay,5,24,34,42
Los Andes,5,9,41,50
Nogales,5,25,29,46
Olmue,5,27,40,33
Panquehue,5,50,26,24
Papudo,5,46,33,21
Petorca,5,48,22,30
Puchuncavi,5,28,34,38
Putaendo,5,36,28,36
Quillota,5,7,45,48
Quilpue,5,4,42,54
Quintero,5,19,38,43
Rinconada,5,42,30,28
San antonio,5,8,37,55
San Esteban,5,30,32,38
San Felipe,5,9,40,51
Santa Maria,5,34,31,35
Santo Domingo,5,25,50,25
Valparaiso,5,2,43,55
Villa Alemana,5,5,45,50
Viña del Mar,5,2,51,47
Zapallar,5,34,43,23
CHEPICA,6,54,31,15
CHIMBARONGO,6,58,22,20
CODEGUA,6,59,20,21
COINCO,6,56,25,19
COLTAUCO,6,61,20,19
DOÑIHUE,6,59,19,22
GRANEROS,6,57,21,22
LA ESTRELLA,6,59,28,13
LAS CABRAS,6,59,24,17
LITUECHE,6,61,27,12
LOLOL,6,63,24,13
MACHALI,6,50,23,27
MALLOA,6,56,24,20
MARCHIGUE,6,63,22,15
MOSTAZAL,6,57,22,21
NANCAGUA,6,60,22,18
NAVIDAD,6,66,20,14
OLIVAR,6,56,23,21
PALMILLA,6,62,23,15
PAREDONES,6,68,21,11
PERALILLO,6,61,23,16
PEUMO,6,61,20,19
PICHIDEGUA,6,65,20,15
PICHILEMU,6,55,25,20
PLACILLA,6,58,22,20
PUMANQUE,6,63,23,14
QUINTA DE TILCOCO,6,58,22,20
RANCAGUA,6,48,24,28
RENGO,6,59,19,22
REQUINOA,6,58,23,19
SAN FERNANDO,6,51,24,25
SAN VICENTE,6,57,23,20
SANTA CRUZ,6,55,25,20
CAUQUENES,7,53,31,16
CHANCO,7,57,28,15
COLBUN,7,70,15,15
CONSTITUCION,7,62,18,20
CUREPTO,7,66,20,14
CURICO,7,51,23,26
EMPEDRADO,7,62,21,17
HUALAÑE,7,66,18,16
LICANTEN,7,63,17,20
LINARES,7,54,24,22
LONGAVI,7,63,23,14
MAULE,7,63,18,19
MOLINA,7,64,17,19
PARRAL,7,55,28,17
PELARCO,7,60,24,16
PELLUHUE,7,58,26,16
PENCAHUE,7,63,23,14
RAUCO,7,62,20,18
RETIRO,7,55,31,14
RIO CLARO,7,65,20,15
ROMERAL,7,57,23,20
SAGRADA FAMILIA,7,67,17,16
SAN CLEMENTE,7,69,15,16
SAN JAVIER,7,60,22,18
SAN RAFAEL,7,64,19,17
TALCA,7,54,21,25
TENO,7,58,22,20
VICHUQUEN,7,59,27,14
VILLA ALEGRE,7,60,25,15
YERBAS BUENAS,7,65,20,15
ALTO BIOBIO,8,50,25,25
ANTUCO,8,65,17,18
ARAUCO,8,58,18,24
BULNES,8,57,24,19
CABRERO,8,61,17,22
CAÑETE,8,57,22,21
CHIGUAYANTE,8,51,19,30
CHILLAN,8,52,25,23
CHILLAN VIEJO,8,57,21,22
COBQUECURA,8,58,27,15
COELEMU,8,61,21,18
COIHUECO,8,60,23,17
CONCEPCION,8,44,25,31
CONTULMO,8,56,24,20
CORONEL,8,55,16,29
CURANILAHUE,8,60,18,22
EL CARMEN,8,51,33,16
FLORIDA,8,59,21,20
HUALPEN,8,53,15,32
HUALQUI,8,60,17,23
LAJA,8,55,19,26
LEBU,8,63,15,22
LOS ALAMOS,8,62,19,19
LOS ANGELES,8,47,29,24
LOTA,8,61,13,26
MULCHEN,8,62,18,20
NACIMIENTO,8,54,18,28
NEGRETE,8,59,23,18
NINHUE,8,50,27,23
ÑIQUEN,8,55,30,15
PEMUCO,8,57,28,15
PENCO,8,59,14,27
PINTO,8,46,37,17
PORTEZUELO,8,64,24,12
QUILACO,8,62,21,17
QUILLECO,8,61,22,17
QUILLON,8,56,25,19
QUIRIHUE,8,66,18,16
RANQUIL,8,60,21,19
SAN CARLOS,8,55,29,16
SAN FABIAN,8,62,21,17
SAN IGNACIO,8,60,25,15
SAN NICOLAS,8,64,19,17
SAN PEDRO DE LA PAZ,8,47,21,32
SAN ROSENDO,8,60,13,27
SANTA BARBARA,8,51,27,22
SANTA JUANA,8,56,21,23
TALCAHUANO,8,46,20,34
TIRUA,8,53,33,14
TOME,8,57,18,25
TREGUACO,8,64,20,16
TUCAPEL,8,65,15,20
YUMBEL,8,60,20,20
YUNGAY,8,54,23,23
ANGOL,9,51,28,21
CARAHUE,9,59,27,14
CHOLCHOL,9,56,28,16
COLLIPULLI,9,61,20,19
CUNCO,9,54,30,16
CURACAUTIN,9,57,28,15
CURARREHUE,9,52,34,14
ERCILLA,9,57,28,15
FREIRE,9,56,26,18
